@relation 'Cost/Benefit Curve'

@attribute 'Sample Size' numeric
@attribute Cost/Benefit numeric
@attribute Threshold numeric

@data
1,-5400000,0
0.30101,1520000,0.01
0.254545,1980000,0.02
0.228283,2240000,0.03
0.210101,2320001,0.04
0.20202,2300002,0.05
0.193939,2380002,0.06
0.183838,2480002,0.07
0.177778,2540002,0.08
0.167677,2640002,0.09
0.161616,2700002,0.1
0.155556,2760002,0.11
0.151515,2800002,0.12
0.149495,2820002,0.13
0.147475,2840002,0.14
0.145455,2760003,0.15
0.141414,2800003,0.16
0.135354,2860003,0.17
0.133333,2880003,0.18
0.127273,2940003,0.19
0.123232,2980003,0.21
0.119192,3020003,0.24
0.117172,3040003,0.25
0.115152,2960004,0.26
0.113131,2980004,0.27
0.111111,3000004,0.28
0.109091,3020004,0.29
0.107071,2940005,0.31
0.10303,2880006,0.32
0.10101,2900006,0.33
0.09899,2920006,0.35
0.09697,2940006,0.36
0.094949,2860007,0.37
0.092929,2880007,0.38
0.090909,2900007,0.41
0.088889,2920007,0.46
0.086869,2840008,0.48
0.084848,2860008,0.49
0.082828,2780009,0.57
0.078788,2720010,0.58
0.076768,2740010,0.59
0.074747,2660011,0.63
0.072727,2580012,0.66
0.070707,2600012,0.67
0.066667,2440014,0.68
0.064646,2360015,0.69
0.060606,2300016,0.71
0.052525,1980020,0.72
0.050505,1900021,0.73
0.044444,1760023,0.76
0.042424,1680024,0.79
0.040404,1600025,0.82
0.038384,1520026,0.84
0.036364,1440027,0.85
0.032323,1280029,0.87
0.028283,1120031,0.89
0.026263,1040032,0.9
0.024242,960033,0.93
0.022222,880034,0.96
0.020202,800035,0.97
0.014141,560038,0.98
0.010101,400040,0.99
0.008081,320041,1
0,45,1.00001
