league,games,minutes,pts,offReb,defReb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,totalSeasons,Position,firstSeason,lastSeason,careerEnded,yrsRetired2004,class
N,408,9825,5232,476,824,1300,866,265,175,700,1214,4074,2031,1495,1125,153,45,9,G,1982,1990,1,14,0
N,51,0,587,0,0,0,158,0,0,0,114,620,222,181,143,0,0,1,G,1949,1949,1,55,0
N,265,0,1712,0,0,72,311,0,0,0,392,2190,655,620,402,0,0,5,G,1946,1950,1,54,0
N,133,2587,992,55,198,253,291,123,14,207,311,824,378,130,102,349,134,2,G,2003,2004,0,0,0
N,8,28,7,0,2,2,0,0,0,1,4,6,2,5,3,0,0,1,G,2004,2004,0,0,0
N,343,8569,3268,745,1787,2532,261,145,399,597,968,2356,1136,1393,996,7,0,5,C,2000,2004,0,0,0
N,472,15767,9063,0,0,4220,815,0,0,0,1426,7572,3193,3434,2677,0,0,7,F,1953,1959,1,45,1
A,50,665,262,0,0,118,76,0,0,58,98,282,112,59,36,8,2,2,F,1972,1973,1,31,0
N,9,0,22,0,0,0,8,0,0,0,7,31,8,7,6,0,0,1,G,1949,1949,1,55,0
N,19,101,48,1,0,10,8,0,0,0,18,60,24,0,0,0,0,5,G,1969,1973,1,31,0
A,584,19546,11544,0,352,2112,2121,113,37,1016,1604,9398,4303,3662,2927,73,11,9,G,1967,1975,1,29,0
N,32,440,141,0,0,51,60,0,0,0,55,162,59,38,23,0,0,1,G,1961,1961,1,43,0
N,707,20959,12142,937,1766,2703,2090,678,137,1697,1634,9380,4434,3660,3106,465,168,10,F,1981,1990,1,14,0
N,330,10262,4064,291,506,797,1476,606,82,428,931,3295,1606,865,695,417,157,10,G,1972,1981,1,23,0
N,1074,38113,26668,2950,4219,7169,2677,1378,642,2669,2061,21589,9963,7438,6031,2231,711,17,F,1982,1998,1,6,1
A,107,1264,657,0,111,400,65,6,5,146,210,631,262,218,131,8,2,4,F,1972,1975,1,29,0
N,32,277,65,0,51,51,6,7,5,0,45,58,31,8,3,0,0,1,F,1976,1976,1,28,0
N,60,809,373,16,57,73,46,27,12,59,103,384,130,102,83,88,30,2,G,1997,1998,1,6,0
N,31,74,36,8,15,23,5,1,0,7,15,42,14,10,8,4,0,1,F,1988,1988,1,16,0
N,389,11406,4490,353,1093,1446,728,403,95,454,995,3949,1641,881,690,1415,518,5,F,2000,2004,0,0,0
N,99,1954,478,0,0,205,182,0,0,0,296,462,160,253,158,0,0,2,G,1952,1953,1,51,0
N,8,122,40,9,16,25,2,3,2,8,14,30,13,22,14,0,0,1,F,1995,1995,1,9,0
A,426,13235,4499,0,0,4271,1027,0,0,671,1430,3546,1885,1176,723,18,6,6,F,1967,1972,1,32,0
N,31,149,44,13,21,34,2,4,10,9,31,37,17,20,10,1,0,3,C,1989,1991,1,13,0
N,1100,35954,15535,1459,2790,4249,5499,1477,675,2448,3087,13100,5832,4754,3791,464,80,14,G,1976,1989,1,15,0
N,133,1398,467,58,111,169,89,56,10,97,157,370,196,126,73,6,2,3,F,1994,1996,1,8,0
N,14,0,78,0,0,0,4,0,0,0,42,113,32,28,14,0,0,1,G,1947,1947,1,57,0
N,33,373,133,0,0,69,29,0,0,0,32,143,55,42,23,0,0,1,F,1959,1959,1,45,0
N,695,15077,5940,306,631,937,1769,553,26,815,1368,5130,2363,786,651,1408,563,10,G,1982,1991,1,13,0
N,889,25424,6858,534,1784,2318,6726,1369,39,1433,1582,6210,2845,1284,1062,381,106,14,G,1987,2000,1,4,0
N,55,1472,391,37,140,177,356,60,3,139,123,398,153,98,80,21,5,1,G,2003,2003,1,1,0
A,11,90,21,0,0,29,1,0,0,6,16,28,9,12,3,0,0,1,C,1967,1967,1,37,0
A,89,1158,331,0,117,117,190,58,9,151,196,354,132,98,66,14,1,2,G,1974,1975,1,29,0
N,381,6936,2882,199,461,660,715,205,74,504,647,2662,1050,574,382,1151,400,8,G,1993,2000,1,4,0
N,170,2523,767,62,201,263,535,137,3,212,205,727,307,182,139,59,14,6,G,1986,1991,1,13,0
N,699,18443,10063,0,0,5940,1515,0,0,0,2812,8812,3547,3874,2969,0,0,10,F,1949,1958,1,46,1
N,162,3251,1307,174,402,576,223,162,41,177,410,946,397,474,411,262,102,5,F,2000,2004,0,0,0
N,41,181,109,0,0,52,5,0,0,0,33,94,41,38,27,0,0,4,F,1967,1970,1,34,0
N,1329,45071,27409,6731,9481,16212,1796,1089,1732,3804,3076,19225,9435,11090,8531,80,8,21,C,1974,1994,1,10,1
N,25,315,136,39,58,97,16,10,13,24,38,136,62,36,12,1,0,3,F,1985,1987,1,17,0
N,83,1153,464,29,57,86,168,37,11,22,158,483,196,105,72,0,0,7,G,1971,1977,1,27,0
N,54,538,283,14,16,30,47,20,3,0,45,321,131,21,21,0,0,1,G,1974,1974,1,30,0
N,312,10990,5453,404,1262,1666,990,387,127,704,734,4903,2113,1167,820,1223,407,4,G,2001,2004,0,0,0
N,228,699,1603,0,0,549,328,0,0,0,320,1772,673,406,257,0,0,4,F,1948,1951,1,53,0
A,214,5924,3239,0,1852,1852,247,200,380,467,649,2726,1345,729,548,10,1,7,C,1973,1979,1,25,0
N,180,2376,847,224,300,524,192,182,143,195,376,666,320,299,199,33,8,3,F,1985,1987,1,17,0
N,1073,30154,15097,677,2310,2987,2729,1224,276,1597,2051,12268,5918,2985,2486,2093,775,14,G,1983,1996,1,8,0
